id;Baras;Adresas;Telefonas;Url;latitude;longtitude
alaus_namai;Alaus namai;A. Goštauto g. 8, Vilnius;8 5 260 9637;http://www.alausnamai.lt/;54.6932528;25.270084
alaus_baras_just;Alaus baras (Justinišk?s);Justiniški? g. 91 ,Vilnius;(5) 2422480;;54.7171368;25.2216737
blusyne;Blusyn?;Savi?iaus g. 5-1, Vilnius;(5) 2122012;http://www.blusyne.lt/;54.6792624;25.2886435
belmontas;Belmontas;Belmonto g.17, Vilnius;8 686 14656;http://www.belmontas.lt/;54.6852651;25.3572492
burito;Burito;A. Mickevi?iaus g. 2a, Vilnius;(617) 66268;;54.6903759;25.2561
bobo;Bobo;Trak? g. 15, Vilnius;67777335;http://www.bobo.lt/;54.680379;25.2818101
pogo;PoGo Baras;Vilniaus g. 12, Vilnius;37066259613;http://www.pogobaras.lt;54.6859567;25.2795064
bravaria;Bravaria;Ozo g. 25, Vilnius;  8 652 21121;http://www.bravaria.lt/;54.7127277;25.2717928
bunte_gans;Bunte Gans;Aušros Vart? g. 11, Vilnius;(8 5) 212 83 12 ;http://www.buntegans.lt/;54.6762947;25.2882825
busi_trecias;B?si tre?ias;Totori? g. 18. Vilnius;(8 5) 231 26 98;http://www.busitrecias.lt/;54.6845751;25.2823112
dominink_karciama;Domininkon? kar?iama;Domininkon? g. 6, Vilnius;8 600 01977;http://www.priekatedros.lt/Bravoras_Prie_Katedros/Karcema.html;54.6811882;25.2843802
jalta;Jalta;Vykinto g. 17a, Vilnius;+370 6 501 2114;http://www.facebook.com/group.php?gid=77247649677&ref=search;54.6892177;25.2516716
snekutis_old_town;Šnekutis (Old Town);Šv. Stepono 8, Vilnius;8 650 57058;http://www.alutis.lt/snekutis/stepono.php;54.6750192;25.2824646
snekutis_uzupis;Šnekutis (Užupis);Polocko 7, Vilnius;8 650 49058;http://www.alutis.lt/snekutis/polocko.php;54.6812654;25.3012616
plieno_paukste;Plieno paukšt?;K. Kalinausko 11, Vilnius;(5) 2312181;;54.6826155;25.2724954
rene;Ren?;Antokolskio g. 13, Vilnius; 8 5 2126858;http://www.kwak.lt/;54.6792602;25.2855335
pilies_mene;Pilies men?;Pilies g. 8, Vilnius;(8 5) 2612552;http://piliesmene.meniu.lt;54.6840313;25.2894708
cactus;Cactus;Bokšto 7, Vilnius;+370 601 12555;http://www.cactusbar.lt/;54.6805646;25.2903254
simo_baras;Šimo baras;Laisv?s pr. 88, Vilnius;(8 5) 2752832;;54.6893865;25.2800243
alaus_baras_pyli;Alaus baras (Pylimo); Pylimo g. 60, Vilnius;868238097;;54.6729071;25.2862764
molinis_asotis;Molinis ?sotis;Naugarduko g. 32, Vilnius; (5) 2333073;;54.6747256;25.2694839
b6;B6;Bazilijon? gatv? 6;(8 603) 29332;;54.6741394;25.2859476
tores;Tores;Užupio g. 40, Vilnius;+370 655 3 2626;http://www.tores.lt/;54.6809148;25.2979667
stopke;Stopk?;Užupio 2a, Vilnius;;http://www.stopke.lt/;54.6805511;25.2922544
uzupio_picerija;Užupio picerija;Paupio g. 3, Vilnius;(8 5) 2153666;;54.6800877;25.2958167
obuolys;Obuolio alud?;Šnipiški? g. 3, Vilnius;+370 272 4234;http://www.applepub.lt/;54.6938689;25.2775397
mamutas;Mamutas;Savanori? 16, Vilnius ;(5) 2331131;;54.6774303;25.2551304
dolce_vita;Dolce-Vita;Trak? g. 11/Pranciškon? g. 2, Vilnius;5 2312 444;http://www.dolce-vita.lt/;54.6794895;25.2807925
bambalyne;Bambalyn?;Stikli? g. 7, Vilnius;+370 676 00075;http://bambalyne.lt/;54.6800344;25.2863445
alaus_studija;Alaus studija;S. Žukausko 20, Vilnius;8 685 60885;;54.7076179;25.2958828
savas_kampas;Savas kampas;Vokie?i? g. 4, Vilnius;852123203;http://www.savaskampas.lt/;54.678471;25.2860236
chillout;Chillout baras;Pylimo g. 8/2, Vilnius;8 684 74299;http://www.facebook.com/pages/Chillout-baras/103914669678344?v=info;54.6842615;25.2771523
bermudai;Bermudai;Upes 6, Vilnius;37065570262;http://www.bermudaiclub.lt/;54.6961061;25.2691852
prie_katedros;Prie Katedros;Gedimino pr. 5, Vilnius;8 605 77555;http://www.priekatedros.lt/Bravoras_Prie_Katedros/Prie_Katedros.html;54.6864964;25.2832854
