Brand;Barai
Guiness;
Kilkeny;
Hoegarden;
PoGO šviesusis;pogo
Vilniaus kvietinis;bermudai, pogo
Varniuk? tamsusis;pogo
Samson dark;blusyne, pogo, plieno_paukste
Heineken;pogo, savas_kampas
Warsteiner;bunte_gans, plieno_paukste
Erdinger;bunte_gans
Veltins;bunte_gans
Rinkuški? proginis;bermudai
Kanapinis tamsus;bermudai
Vilniaus nefiltruotas;bermudai
Jovar? šnekutis;bermudai
Krušovec;blusyne
Belmonto šviesusis;belmontas
Belmonto ypatingasis;belmontas
Velvet;savas_kampas
Zubr;savas_kampas
Franziskaner;savas_kampas
Staropramen;burito
Bravaria;bravaria
B?si Tre?ias;busi_trecias
"Budweiser ""BUDVAR""";busi_trecias, plieno_paukste
"Švyturys ""Baltas""";busi_trecias
"Kalnapilis ""Grand""";busi_trecias
Katedros Šviesusis;prie_katedros, dominink_karciama
Katedros Tamsusis;prie_katedros, dominink_karciama
Katedros Medaus;prie_katedros, dominink_karciama
"Švyturys ""Extra""";jalta
Grimbergen;jalta
